Graded Commit:9e684c88c89da60f5f016c9323e08f812f65d75a

TEST NAME, POINTS,OUT OF
blackbox_suite/blackbox_1,1,1,
blackbox_suite/blackbox_10,1,1,
blackbox_suite/blackbox_11,0,1,1 assertion(s) failed.: tests/test_common.c:127: The program terminated with an unexpected signal (11).
blackbox_suite/blackbox_2,1,1,
blackbox_suite/blackbox_3,1,1,
blackbox_suite/blackbox_4,1,1,
blackbox_suite/blackbox_5,1,1,
blackbox_suite/blackbox_6,0,1,1 assertion(s) failed.: tests/test_common.c:127: The program terminated with an unexpected signal (11).
blackbox_suite/blackbox_7,1,1,
blackbox_suite/blackbox_8,1,1,
blackbox_suite/blackbox_9,1,1,
deserialize_suite/deserialize_directory_no_subdir,1,1,
deserialize_suite/deserialize_directory_with_subdir,1,1,
deserialize_suite/deserialize_file_binary_with_c,1,1,
deserialize_suite/deserialize_file_empty_with_c,1,1,
deserialize_suite/deserialize_file_text_no_c,1,1,
deserialize_suite/deserialize_file_text_with_c,1,1,
deserialize_suite/deserialize_no_subdir,1,1,
deserialize_suite/deserialize_with_subdir,1,1,
pathbuf_suite/path_init_normal,1,1,
pathbuf_suite/path_init_too_long,1,1,
pathbuf_suite/path_pop_empty,1,1,
pathbuf_suite/path_pop_normal,1,1,
pathbuf_suite/path_push_empty_base,1,1,
pathbuf_suite/path_push_nonempty_base,1,1,
pathbuf_suite/path_push_too_long,1,1,
serialize_suite/serialize_dir_no_subdir,1,1,
serialize_suite/serialize_dir_with_subdir,1,1,
serialize_suite/serialize_file_binary,1,1,
serialize_suite/serialize_file_empty,1,1,
serialize_suite/serialize_file_text,1,1,
serialize_suite/serialize_no_subdir,1,1,
serialize_suite/serialize_with_subdir,1,1,
validargs_suite/validargs_1,1,1,
validargs_suite/validargs_10,1,1,
validargs_suite/validargs_11,1,1,
validargs_suite/validargs_12,1,1,
validargs_suite/validargs_13,0,1,"1 assertion(s) failed.: tests/hw1_tests.c:177: Wrong value for global_options: expected 0x0, was 0x2"
validargs_suite/validargs_2,1,1,
validargs_suite/validargs_3,1,1,
validargs_suite/validargs_4,1,1,
validargs_suite/validargs_5,1,1,
validargs_suite/validargs_6,1,1,
validargs_suite/validargs_7,1,1,
validargs_suite/validargs_8,1,1,
validargs_suite/validargs_9,1,1,
total,43,46
