Graded Commit:4cc49809e4f1f6d2cd382fd0b66ccf7c8134a7b5

TEST NAME, POINTS,OUT OF
basecode_tests_suite/help_system_test,1,1,
basecode_tests_suite/validargs_compress_test,1,1,
basecode_tests_suite/validargs_error_test,1,1,
basecode_tests_suite/validargs_help_test,1,1,
compress_system_suite/compress_emoji,1,1,
compress_system_suite/compress_emoji_ascii,1,1,
compress_system_suite/compress_empty,1,1,
compress_system_suite/compress_large,1,1,
compress_system_suite/compress_pipe_test,1,1,
compress_system_suite/compress_single_byte,1,1,
compress_system_suite/compress_test0,1,1,
compress_system_suite/compress_test1,1,1,
compress_system_suite/compress_test2,1,1,
compress_system_suite/compress_test3,1,1,
compress_system_suite/compress_test4,1,1,
compress_test_suite/compress_block_1024_test,1,1,
compress_test_suite/compress_block_test0,1,1,
compress_test_suite/compress_block_test1,1,1,
compress_test_suite/compress_block_test2,1,1,
compress_test_suite/compress_block_test3,1,1,
compress_test_suite/compress_block_test4,1,1,
compress_test_suite/compress_block_test5,1,1,
compress_test_suite/compress_block_test6,1,1,
compress_test_suite/compress_block_test7,1,1,
compress_test_suite/compress_test0,1,1,
decompress_system_suite/decompress_empty,1,1,
decompress_system_suite/decompress_invalid_num_nodes,1,1,
decompress_system_suite/decompress_no_end_block,1,1,
decompress_system_suite/decompress_no_end_symbol,1,1,
decompress_system_suite/decompress_no_internal_nodes,1,1,
decompress_system_suite/decompress_no_leaf_nodes,1,1,
decompress_system_suite/decompress_pipe_test,1,1,
decompress_system_suite/decompress_single_byte,1,1,
decompress_system_suite/decompress_test0,1,1,
decompress_system_suite/decompress_test1,1,1,
decompress_system_suite/decompress_test2,1,1,
decompress_system_suite/decompress_test3,1,1,
decompress_system_suite/decompress_test4,1,1,
decompress_system_suite/decompress_test5,1,1,
decompress_system_suite/decompress_test6,1,1,
decompress_system_suite/decompress_trunc_at_symbols,1,1,
decompress_system_suite/decompress_trunc_at_traversal,1,1,
decompress_test_suite/decompress_block_empty,0,1,1 assertion(s) failed.: tests/decompress_tests.c:288: Invalid return for decompress block. Got 1 | Expected: -1
decompress_test_suite/decompress_block_invalid_num_nodes,1,1,
decompress_test_suite/decompress_block_no_end_block,1,1,
decompress_test_suite/decompress_block_no_end_symbol,1,1,
decompress_test_suite/decompress_block_no_internal_nodes,1,1,
decompress_test_suite/decompress_block_no_leaf_nodes,1,1,
decompress_test_suite/decompress_block_single_byte,1,1,
decompress_test_suite/decompress_block_test0,1,1,
decompress_test_suite/decompress_block_test1,1,1,
decompress_test_suite/decompress_block_test2,1,1,
decompress_test_suite/decompress_block_test3,1,1,
decompress_test_suite/decompress_block_test4,1,1,
decompress_test_suite/decompress_block_test5,1,1,
decompress_test_suite/decompress_block_test6,1,1,
decompress_test_suite/decompress_block_trunc_at_symbols,1,1,
decompress_test_suite/decompress_block_trunc_at_traversal,1,1,
decompress_test_suite/decompress_test0,1,1,
decompress_test_suite/decompress_test1,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test0,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test1,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test2,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test3,1,1,
read_huffman_tree_suite/read_huff_tree_empty,1,1,
read_huffman_tree_suite/read_huff_tree_no_leaf_nodes,1,1,
read_huffman_tree_suite/read_huff_tree_single_byte,1,1,
read_huffman_tree_suite/read_huff_tree_test0,1,1,
read_huffman_tree_suite/read_huff_tree_test1,1,1,
read_huffman_tree_suite/read_huff_tree_test2,1,1,
read_huffman_tree_suite/read_huff_tree_trunc_at_symbols,1,1,
read_huffman_tree_suite/read_huff_tree_trunc_at_traversal,1,1,
validargs_test_suite/validargs_compress_invalid_block_test0,1,1,
validargs_test_suite/validargs_compress_invalid_block_test1,1,1,
validargs_test_suite/validargs_compress_test0,1,1,
validargs_test_suite/validargs_compress_test1,1,1,
validargs_test_suite/validargs_compress_test2,1,1,
validargs_test_suite/validargs_decompress_test,1,1,
validargs_test_suite/validargs_default_compress_test,1,1,
validargs_test_suite/validargs_help_test0,1,1,
validargs_test_suite/validargs_help_test1,1,1,
validargs_test_suite/validargs_help_test2,1,1,
validargs_test_suite/validargs_help_test3,1,1,
validargs_test_suite/validargs_invalid_combination_test0,1,1,
validargs_test_suite/validargs_invalid_compress_test,1,1,
validargs_test_suite/validargs_invalid_order_test,1,1,
validargs_test_suite/validargs_invalid_test0,1,1,
validargs_test_suite/validargs_invalid_test1,1,1,
validargs_test_suite/validargs_invalid_test2,1,1,
total,88,89
